w,EqGPStime,lat,lon,depth,Mag
253,2016-01-05 05:29:06.200000,-6.0,130.6,130.3,5.2
254,2016-01-14 05:40:15.700000,-16.2,-174.1,139.9,5.1
255,2016-01-10 17:41:25.500000,39.6,34.3,10.0,5.0
256,2015-12-15 13:30:12,-15.6,167.3,28.5,5.2
257,2016-01-14 12:16:05.500000,-53.3,159.8,10.0,5.5
258,2015-11-30 20:19:41.300000,-8.8,67.7,10.0,5.5
259,2016-01-10 17:11:24.800000,-20.8,-178.4,593.4,5.0
260,2015-12-28 16:26:41,-3.8,128.4,51.0,5.2
261,2016-01-08 21:55:30.400000,18.8,-107.1,31.1,5.3
262,2015-12-16 20:39:13.100000,-19.6,-174.9,37.3,5.3
263,2016-01-10 22:08:13.700000,-11.6,166.4,67.3,5.0
264,2016-01-04 14:36:49.900000,19.2,121.0,12.6,5.2
265,2015-12-27 15:20:25.100000,-33.0,-108.8,10.0,5.3
266,2015-12-17 21:32:15.600000,48.0,146.9,443.4,5.4
267,2015-10-23 04:04:54.100000,-45.8,37.2,10.0,6.0
268,2016-01-16 04:36:32.900000,-10.0,123.6,14.1,5.0
269,2016-01-15 00:57:24,-62.2,155.8,10.0,5.1
270,2015-12-14 22:56:53.200000,-5.4,153.1,37.5,5.0
271,2015-12-15 00:21:09.500000,25.7,141.9,55.5,5.1
272,2016-01-14 13:15:25.200000,9.7,126.3,35.0,5.6
273,2015-11-25 11:23:38,4.2,125.8,141.0,5.0
274,2016-01-05 02:21:48.600000,30.6,132.8,10.0,5.8
275,2015-11-11 22:18:35.500000,1.6,127.3,96.7,5.2
276,2015-12-31 22:23:48,-7.2,67.8,10.0,5.0
277,2015-11-11 23:36:55.200000,-7.2,128.9,126.0,5.8
278,2015-11-01 05:42:47.500000,-39.4,175.9,55.4,5.3
279,2015-12-28 14:40:03.800000,-5.2,152.8,10.0,5.2
280,2015-12-01 17:09:01.100000,-14.9,-176.6,10.0,5.8
281,2015-10-23 01:40:42.300000,-54.2,6.2,11.0,6.2
282,2015-10-25 14:59:33.700000,-29.3,-177.8,10.0,5.8
283,2015-12-14 21:12:37.800000,52.8,-167.9,46.7,5.2
284,2015-11-16 03:32:18.200000,52.1,173.6,31.3,5.1
285,2015-12-30 11:09:10.700000,-21.9,-174.5,32.2,5.1
286,2015-09-21 18:37:29.500000,-31.0,-71.8,26.9,5.5
287,2015-10-28 20:47:16.300000,-11.0,166.4,141.0,5.8
288,2015-09-29 15:02:49.900000,17.8,-102.3,19.8,5.0
289,2015-12-26 04:43:51.200000,-42.0,84.5,10.0,5.4
290,2015-12-26 05:40:44,-36.5,-99.5,10.0,5.1
291,2015-11-30 14:46:00.300000,-24.3,-67.2,179.3,5.3
292,2015-12-02 10:09:05,-6.2,154.7,56.1,5.3
293,2015-10-22 17:48:18.100000,17.9,147.2,4.2,5.3
294,2015-09-30 16:07:28.300000,-56.2,-27.7,101.0,5.7
295,2015-09-30 17:26:30.200000,18.0,-101.3,42.0,5.4
296,2015-12-02 23:27:45.900000,39.3,40.3,10.0,5.4
297,2015-10-26 01:42:08.300000,-25.2,178.7,546.0,5.0
298,2015-12-01 12:14:57.800000,1.0,127.5,10.0,5.1
299,2015-12-01 13:40:31.100000,-16.4,-71.1,117.3,5.0
300,2016-01-05 01:58:58.900000,15.5,-95.2,35.0,5.0
